name,career,last10,lwin,wins,places,tj,jh,twelveMonth,season,track,distance,trackDistance,firm,good,soft,heavy,wet,hclass,roi,is_winner
4. Masquerade,0.24,0.19,0.04,0.14,0.24,0.02,0.10,0.00,0.00,0.29,1.00,1.00,0.00,0.32,0.00,0.00,0.00,0.13,-0.61,0.00
5. Born To Rule,0.57,0.32,0.02,0.29,0.57,0.17,0.67,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,-0.03,0.00
6. Pasajero,0.27,0.18,0.07,0.12,0.27,0.12,0.00,0.00,0.40,0.17,0.55,0.50,0.00,0.35,0.00,0.00,0.00,0.25,-0.39,0.00
7. Sioux City,0.27,0.24,0.01,0.09,0.27,0.00,0.00,0.40,0.40,0.33,0.00,0.00,0.00,0.22,0.50,0.00,0.50,0.00,-0.45,1.00
1. Star Present,0.36,0.25,0.01,0.18,0.36,0.08,0.00,0.50,0.40,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,-0.52,1.00
2. Winning Aces,0.17,0.19,0.03,0.17,0.17,0.21,0.50,0.50,0.20,1.00,1.00,1.00,0.00,0.33,0.00,0.00,0.00,0.00,3.33,1.00
3. Simple Logic,0.43,0.24,0.02,0.14,0.43,0.07,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,-0.47,1.00
4. The Witch Doctor,0.29,0.24,0.03,0.21,0.29,0.17,1.00,0.50,0.50,0.20,0.20,0.00,0.00,0.36,0.00,0.00,0.00,0.00,-0.11,1.00
5. Dark City,0.31,0.16,0.01,0.08,0.31,0.25,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.30,0.25,0.50,0.33,0.00,-0.69,0.00
6. She's Artie,0.17,0.16,0.03,0.17,0.17,0.14,1.00,0.25,0.25,0.00,0.50,0.00,0.00,0.25,0.00,0.00,0.00,0.00,4.17,0.00
7. Thewayiwalk,0.38,0.23,0.01,0.13,0.38,0.08,0.38,1.00,1.00,0.00,1.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,-0.55,0.00
8. Dolly Em,0.15,0.14,0.07,0.05,0.15,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.18,0.06,0.20,0.09,0.00,-0.40,0.00
1. The Republican,0.36,0.32,0.02,0.18,0.36,0.00,0.00,0.00,0.60,0.00,0.33,0.00,0.00,0.33,0.00,0.50,0.50,1.00,0.08,1.00
3. Featherweight,0.40,0.31,0.01,0.20,0.40,0.24,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,-0.50,1.00
4. My Mate,0.50,0.33,0.01,0.50,0.50,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.15,1.00
5. Agent Kensington,0.48,0.19,0.02,0.11,0.48,0.00,0.00,0.29,0.42,0.17,0.40,0.00,0.00,0.48,0.50,0.00,0.50,0.50,-0.62,1.00
6. Ambergate Rose,0.50,0.24,0.02,0.17,0.50,0.00,0.00,0.33,0.50,0.33,0.50,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.73,0.00
7. Zac Luvs To Fly,0.48,0.24,0.03,0.07,0.48,0.04,0.54,0.43,0.38,0.50,0.71,0.50,0.00,0.45,0.60,0.50,0.57,0.00,-0.81,0.00
8. Miss Quoted,0.30,0.18,0.02,0.05,0.30,0.04,0.33,0.00,0.14,0.38,0.39,0.40,0.00,0.29,0.33,0.00,0.33,0.33,-0.58,0.00
9. Rocky Path,0.29,0.22,0.01,0.07,0.29,0.13,0.31,0.00,0.13,0.13,0.33,0.29,0.00,0.21,0.42,0.50,0.43,0.25,-0.24,0.00
10. Reaction,0.39,0.23,0.02,0.04,0.39,0.05,0.41,0.40,0.40,0.09,0.36,0.00,0.00,0.41,0.38,0.00,0.33,0.19,-0.80,0.00
2. Lonehand Larry,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1. Keep Your Feet,0.47,0.18,0.08,0.06,0.47,0.17,0.50,0.25,0.25,0.38,0.00,0.00,0.00,0.42,0.75,0.00,0.60,0.50,-0.35,0.00
2. Comealilbitcloser,0.42,0.27,0.01,0.04,0.42,0.20,0.33,0.33,0.33,0.20,0.50,0.00,0.00,0.42,0.50,0.00,0.40,0.43,-0.58,1.00
3. Dangote,0.25,0.30,0.03,0.25,0.25,0.33,0.33,0.33,0.33,0.50,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,-0.15,1.00
4. Disengo,0.56,0.25,0.02,0.11,0.56,0.17,0.63,0.50,0.50,0.00,0.00,0.00,0.00,0.57,0.50,0.00,0.50,0.50,-0.70,1.00
5. Lautre,0.38,0.25,0.03,0.13,0.38,0.10,0.67,0.50,0.43,0.00,1.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,-0.70,1.00
6. Let The Dust Fly,0.18,0.19,0.03,0.06,0.18,0.08,0.38,0.40,0.22,0.00,0.00,0.00,0.00,0.17,0.25,0.00,0.25,0.00,0.53,0.00
7. Broadway Brenda,1.00,0.67,0.03,0.50,1.00,0.25,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,-0.03,0.00
8. Powerful Force,0.38,0.29,0.01,0.08,0.38,0.05,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,-0.88,0.00
9. Isopoda,0.14,0.17,0.10,0.07,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,-0.73,0.00
10. Big Swoop,0.31,0.18,0.01,0.06,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.20,-0.13,0.00
