name,career,last10,lwin,wins,places,tj,jh,twelveMonth,season,track,distance,trackDistance,firm,good,soft,heavy,wet,hclass,roi,is_winner
15. Ninetyone Dwyer,0.36,0.24324324324324326,0.045454545454545456,0.08,0.36,0.0,0.0,0.46153846153846156,0.0,0.0,0.5,0.0,0.0,0.38095238095238093,0.3333333333333333,0.0,0.25,0.0,-0.61,0
1. Hot Zed,0.6153846153846154,0.21621621621621623,0.024390243902439025,0.31,0.62,0.12,0.7222222222222222,0.36363636363636365,0.0,0.6428571428571429,0.7142857142857143,0.6666666666666666,0.0,0.65,0.6,0.0,0.5,0.0,1.75,1
2. It'sarayday,0.5833333333333334,0.2916666666666667,0.045454545454545456,0.42,0.58,0.22,0.3333333333333333,0.375,0.0,0.5,0.6666666666666666,1.0,0.0,0.42857142857142855,0.75,1.0,0.8,1.0,-0.06,1
3. Panzdown,0.6111111111111112,0.21875,0.026315789473684213,0.33,0.61,0.2,0.8571428571428571,0.3333333333333333,0.0,0.5454545454545454,0.5,0.5,0.0,0.5,0.8333333333333334,0.0,0.8333333333333334,0.4,0.01,1
4. Iseered Iseered,0.5,0.19047619047619047,0.016666666666666666,0.33,0.5,0.1,0.0,0.14285714285714285,0.0,0.5,0.14285714285714285,0.0,0.0,0.45454545454545453,0.5714285714285714,0.0,0.5714285714285714,1.0,0.06,0
5. Kenyluck,0.5106382978723404,0.34615384615384615,0.027027027027027025,0.28,0.51,0.12,0.5882352941176471,0.5,0.0,0.23076923076923078,0.5909090909090909,0.16666666666666666,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.55,0
6. Gemma's Son,0.4827586206896552,0.17391304347826086,0.011363636363636364,0.24,0.48,0.18,0.5555555555555556,0.1,0.2,0.3684210526315789,0.2857142857142857,0.0,0.0,0.4166666666666667,0.75,1.0,0.8,0.75,-0.43,0
7. Vane Tempest,0.5714285714285714,0.25,0.09090909090909091,0.25,0.57,0.0,0.0,0.4,0.2,0.3,0.5833333333333334,0.16666666666666666,0.0,0.5625,0.6,0.5,0.5833333333333334,0.0,-0.15,1
9. All Day Session,0.34210526315789475,0.19607843137254902,0.01694915254237288,0.13,0.34,0.11,0.5,0.21428571428571427,0.16666666666666666,0.25,0.25,0.25,0.0,0.23809523809523808,0.42857142857142855,0.6666666666666666,0.47058823529411764,1.0,0.51,0
10. Can't Be Done,0.4583333333333333,0.21875,0.16666666666666669,0.21,0.46,0.13,0.5,0.2857142857142857,0.5,0.0,0.5,0.0,0.0,0.35714285714285715,0.75,0.0,0.6,0.0,0.75,0
